Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
customer,1.0,"Manny Sanchez

Manny Sanchez

I AM PLEASED TO RECEIVE SUCH STELLAR PROFESSIONAL CUSTOMER SERVICE FROM LAURA CASTELLANOS AT MILES RENT A CAR. SHE IS A TOP NOTCH INDIVIDUAL WITH SINCERE ATTRIBUTES AND PRESEVERANCE TO PROVIDE AN ULTIMATE CUSTOMER SATISFACTION EXPERIENCE. I WAS MORE THAN HAPPY TO HAVE MY CALL ANSWERED BY HER. SHE WAS PATIENT, FRIENDLY, PROFESSIONAL AND MOST OF ALL I WAS IMPRESSED WITH HER DUE DILIGENCE. THANK YOU, THANK YOU, THANK YOU. PLEASE RECOGNIZE HER PROFESSIONALISM FOR OUTSTANDING SERVICE.",US,1.0,2022-07-07T04:17:22Z,Miles Car Rental
Joni,0.8,"I’m an American living in Mexico

I’m an American living in Mexico. I have been renting from Miles Car Rental for somewhere around 7 years. They have great rates and it includes all the insurance I need since I no longer have my own car insurance in the U.S.",MX,4.0,2022-07-13T01:49:44Z,Miles Car Rental
cliente,1.0,"Very good cindy

Verry good cindy salazar",PR,2.0,2022-08-16T17:35:47Z,Miles Car Rental
customer,1.0,"Always great to go through Miles car…

Always great to go through Miles car rental when I travel. Very competitive price with so much included.",HT,1.0,2022-08-01T04:15:39Z,Miles Car Rental
customer Uomashe Mangalee,1.0,"I have rental through miles site on my…

I have rental through miles site on my last 3 occasions both ways a total on 6 times and book 2 again for August. All my experiences so far have been pleasant and great value on my pocket. I have saved tremendously and pleasant telephone rep. For any further information I needed. Thanks miles rental
Uomashe Mangalee",TT,1.0,2022-06-25T22:01:14Z,Miles Car Rental
Lucius Mcdonald,1.0,"ANGELICA USMA is full of potential

ANGELICA USMA was very helpful to me, a very patient representative. She did everything for me as instructed. I observe that she is new to the company but I have no doubt with Supevisors like Daniela Manrique she will excel in her job. Good work Angelica",US,5.0,2022-07-03T06:31:31Z,Miles Car Rental
Maria Rodriguez,1.0,"Excellent Customer service

First I want to thanks for the Perfect and Good service of Angelica Usma! I was calling everywhere and I couldn’t find anything to get to my son big Day in Miami ! It’s my first time renting a car, She was kind, helpful and very patience with me ! And yes with did it, we got our rental ! Thanks a lot for everything Angelica Usma ! I wish every employee was like her !",US,1.0,2022-06-22T09:46:43Z,Miles Car Rental
Sudesh,1.0,"I had a cancelled booking since…

I had a cancelled booking since pre-covid and Miles Car Rental held my voucher till now and were very helpful in applying it towards a new rental. Natalia was very patient with me. Thanks Miles.",TT,2.0,2022-07-13T02:23:58Z,Miles Car Rental
Melisa,1.0,"Leydi was very helpful in assisting us…

Leydi was very helpful in assisting us with our changes. We have always had a great experience when using Miles Car Rental.",AW,2.0,2022-07-25T04:36:00Z,Miles Car Rental
Estela,1.0,"Cindy Salazar was very helpful with my…

Cindy Salazar was very helpful with my reservation. Great attitude very pleased with her service. Thanks",US,1.0,2022-07-28T19:58:00Z,Miles Car Rental
Marco A Vettori,0.8,"Where is my receipt?

Dears, the rental was very good with two exceptions:
1- I waited more than one hour in the line to get to the attendant and do the necesary paperwork to get my rented car. The waiting time is the longest I ever had in my life, including with Avis that normaly is well organized
2- I've been billed in my car for fuel and tolls about $260, howerever, I haven't recived the receipt for such charge, so, I don't know the reason for such a huge amount... did I get any fine?",BR,1.0,2022-06-07T21:49:27Z,Miles Car Rental
Rodney sille,0.8,"I needed a rental car that was all…

I needed a rental car that was all inclusive and not too expensive and Miles car rental has great deals in this respect. The fact that they offer additional extra insurance coverage is a great plus and very much appreciated. thank you for this great service.",US,4.0,2022-06-19T05:33:29Z,Miles Car Rental
Ale,1.0,"This is my first time with Miles Car…

This is my first time with Miles Car Rental. I can say that the process to rent a car is clear and honest.
Hope the rest goes so well as the initial steps.
very good prices!",AR,2.0,2022-07-09T22:21:35Z,Miles Car Rental
Eric Roman,1.0,"Excellent Service !!

The process was surprisingly easy because of Deysi Acosta who lead me through the process patiently. It was a refreshing experience since it is not always the case with companies today.
Deysi Acosta listened and explained and guided me through each step .
I will definitely recommend Miles Rental because of her professional assistance.",PR,1.0,2022-05-27T18:53:16Z,Miles Car Rental
customer,0.2,"The shuttle never came to pick me…

The shuttle never came to pick me up.from the airport so I had to catch a taxi to the rental car company where no one answered the phone at the suite nor did I receive any assistance from their online assistant.",BS,1.0,2022-06-25T05:14:54Z,Miles Car Rental
Alfredo Angulo,0.8,"FROM HELL TO HAVEN......I give 4 stars just because I needed to…

I give 4 stars just because I needed to call Miles and was impossible to find a customer phone number thru the internet, and I find it low consideration for your customers, Emma your virtual assistant was a dissaster after I gave her all info she never came back to me, finally I could get the number thru an Avis agentand things got so much better with Miles agent Leydi Caballero, she was so professional, sweet and compassionate with my situation and solve my problem, thanks to her I've change my totally negative opinion to a very possitive one towards Miles and I would recommend to all my friends, but please make your customer service phone number more available to customers.",US,1.0,2022-06-04T18:00:34Z,Miles Car Rental
Bernie Groen,1.0,"Rental Help

Very helpful person, just had a little hard time understanding her and had to ask to have some things repeated.
Thanks Adf????",US,1.0,2022-07-13T20:54:30Z,Miles Car Rental
Michelle Wright,0.2,"Do not rent a car here unless you are…

Do not rent a car here unless you are traveling coming to Airport here In Atlanta they did not mention this when booking for a rental they will take your money and make it seems that you are in the wrong I don’t have a major credit card even though I have a debit and credit card when I got to the terminal they told me I don’t meet the requirements and can’t lease me a vehicle in the terminal I have to go outside of the airport. Insurance is not included even though they have it in benefits including false advertisement. THEY WILL NOT TELL YOU THIS BEFORE BOOKING AND WILL KEEP YOUR MONEY BE CARFUL!!!",US,4.0,2022-05-16T02:10:01Z,Miles Car Rental
customer,0.2,"I went to the airport at the vague…

I went to the airport at the vague address provided in my email. There was no Miles rental car station at the Orlando International Air Port, A and B. I asked multiple other rental groups there where to find it, but none had even heard of it. I went out to the shuttle area and asked several of the bus drivers who transport people to off-location rental services; again no one had heard of it. I checked my confirmation email, but no phone number was provided. I tried to look up a local phone number. The one I found said press 1 for English and then would just hang up. I ended up returning inside and renting a vehicle from another company… What a mess.",US,1.0,2022-05-20T06:56:51Z,Miles Car Rental
Jesus Ordorica,1.0,"Just Excellent

This is the second time I rent through Miles Car Rental USA.
In the same site you get quotations of all car rental brands.
Everything is included; taxes, insurance, etc.
I strongly recommend everybody to rent your car through this company.",MX,2.0,2022-05-09T06:27:32Z,Miles Car Rental
Y.A.K,0.8,"The only reason for giving 4 stars…

The only reason for giving 4 stars instead of 5 was because it took me forever to find a phone number for customer service. Once I found it I stayed on the line for at least 45 minutes until the phone was answered. You must ask their automated system for the phone number, because it is not published anywhere. The young lady Natalia that helped me was excellent. She walked me through everything and was very pleasant to speak with. When I wasn't able to print my voucher, she sent it to me as an email attachment. Very satisfied with her. The site leaves some to be desired. However, now that I know what to do, I will use them again.",US,1.0,2022-04-29T01:30:41Z,Miles Car Rental
cliente,1.0,"It has a good offers to rent a car

It has a good offers to rent a car. Excellent choice!.",MX,1.0,2022-08-03T11:39:50Z,Miles Car Rental
Heather Bedor,1.0,"So far so good

So far so good! I've been having a rough few days and trying to find a rental is dizzying. Speaking with Daniela, she just took that stress right away and spoke to me kindly and gently. I have a pickup at 5pm...so fingers crossed that everything will be right in the world!",US,1.0,2022-03-17T15:49:56Z,Miles Car Rental
Ghassan,1.0,"I had booked an SUV 10 days ago

I had booked an SUV 10 days ago, and then I saw the price dropped to what I originally paid, so Miles honored the cheaper price, rebooked me, and gave me a refund on the balance saved. The Agent was extremely helpful, thank you, and much appreciated.",BS,1.0,2022-04-01T21:21:59Z,Miles Car Rental
Luis Arturo Woc de Leon,1.0,"¡Excellent customer service!

¡Excellent customer service! Needed to make a change in my reservation and it went smooth and awesome. Best customer services I received so far in any car-rental.",GT,1.0,2022-06-12T03:10:17Z,Miles Car Rental
D. Carroll,0.8,"I had to change the name of renter on…

I had to change the name of renter on my reservations a day before booking but the link had an error on it so Daniela called me and she was very helpful and pleasant with completing my request and processing the refund",BS,1.0,2022-04-26T16:55:00Z,Miles Car Rental
Alejandro Hernández,0.2,"I payed in advance and did not recieve…

I payed in advance and did not recieve the service. I have been a client for more than 10 years and they offered to give me a 40 usd cupon. If you want to know how much your your business is worth to this company, is easry, they just put a numer on it $40. Of course the costs that I uncurred by not getting the service that I payed for where mor much than that. Even the time spent talking to theri representatives does not add to $40 USD (a couple of hamburguers at a decent joint). Beware, they are nice but at the end they dont´value your business and if you have a problem they wont take care of it. Better options out there.",US,2.0,2022-03-04T22:17:06Z,Miles Car Rental
Unhappy traveler,1.0,"Miles actually helped with my problems!

I had originally wrote a bad review because I thought Miles was at fault for the car booking catastrophe we had. Turned out it was just the car rental company they work with. Miles car rental actually took time to try to help me fix things. This is the first time any online service has actually done some work and made a satisfied customer. I'll use miles again but just make sure you don't book with thrifty through them.",US,1.0,2021-09-28T19:47:44Z,Miles Car Rental
Scott Smith,1.0,"Car Rental Booking with an Existing Credit Balance

I had the pleasure of booking a rental vehicle with Karol Moreno who is a Sales Associate from Viajemos. I have used Viajemos many times in the past and their booking process has always been slick and efficient. I had an outstanding balance from a previous rental that had had to be cancelled and Karol smoothly and efficiently processed this credit balance against a new rental booking for 2022. She was extremely helpful and very customer orientated, and it made this rental experience painless and smooth.
Many thanks.
Scott Smith",GB,4.0,2021-11-02T21:32:56Z,Miles Car Rental
Rivka Maria Moran Hartley,1.0,"Great customer Service

Great customer Service. Emma was the person who attended me very well, she was super efficient and kind.",PE,1.0,2022-07-08T08:56:02Z,Miles Car Rental
Jorge Silen,1.0,"Miles Car Rental

Miles Car Rental, you have a true professional in Maria Ortiz. Her kindness and patience excels anyone today. She really tried to get me the best deal possible, incredible. I will be an absolutely definite customer from now on. Maria deserves all the credit. Many Kudos to her.",PA,1.0,2021-10-29T01:17:36Z,Miles Car Rental
Max,1.0,"Leydi Caballero - Five stars!

Leydi Caballero, who assisted me in making a reservation, was excellent. She was very patient with my questions and very knowledgeable. In an age where quality customer service by telephone is difficult to find, Miles Car Rental stands out as a company that hires quality employees such as Leydi.",US,1.0,2021-09-11T19:20:53Z,Miles Car Rental
Angel Ramirez,1.0,"Excelente job

Excelente job, Lorena Ruiz attends my needs on Sunday, she call me as respond of my request , very good explanation of car rental options besides of excelente services, it is noticed very good car rental rates, customer can rely rental needs on This company. Reservation number , ME100N2861",MX,1.0,2021-09-12T20:58:15Z,Miles Car Rental
customer,0.2,"So I still haven’t herd back from…

So I still haven’t herd back from anyone days later after getting a response on the review I made smh. I called this morning to see what’s up with my refund now I gotta wait until a supervisor hit me back because I wrote a review in so over this company at this point they are fruad and I’m very upset right now",US,2.0,2021-06-22T15:05:12Z,Miles Car Rental
Car reservation MIA,0.2,"No car reserved when I went to get it, appalling customer service.

I had a reservation for a car at Atlanta-Hartsfield airport and when I took a taxi to get there I was told there is no car available. None at Dollar (whose reservation I had), none at thrifty, none at Enterprise and even Hertz and Avis were only giving cars to those who reserved from their websites. I spoke with a customer service agent about the failure of the reservation and she could hear me clearly but pretended to be unable to hear me only when I said there were no cars. I could clearly hear her and other service agents in the background. The pretense of being unable to hear was particularly galling when I was told I could request a refund and rebook for another car another day but when I mentioned I wanted a refund since I got no car for my reservation and payment of US$957 to Miles Car Rental she hung up the phone. This experience is beyond bad.",US,1.0,2022-05-15T03:57:25Z,Miles Car Rental
Dania Alonzo,1.0,"EMMA is an excellent customer service agent

EMMA was a kind, friendly, patient and very skilled agent. She helped me all the way with my reservation. She answered every question . She is really comitted to great customer service!!! Thank you Emma",GT,3.0,2022-03-16T17:57:51Z,Miles Car Rental
J Flores,1.0,Excepcional customer services!!!,NI,2.0,2022-08-05T22:17:57Z,Miles Car Rental
Pauli,1.0,"Jessica Pineda is Alan EXCELLENT Customer Service agent!

Jessica Pineda ,
Was excellent … very helpful and great attitude!

She went above and Beyond to solve my Rental need when no one else in Miami would.

She was even extrémely patient with my changes!

Thank you Jessica, for being para of our great tríp planning experience.",US,1.0,2021-06-08T00:37:21Z,Miles Car Rental
A. Aviles,1.0,"Excellent customer service

Excellent customer service, even when I had to make changes to existing reservation, the agent took care efficiently and without hassles. In top of that, the best rates available!",PR,1.0,2022-04-13T18:24:25Z,Miles Car Rental
Sci Dog,1.0,"Michael Hernández found me an…

Michael Hernández found me an affordable car in no time. Not easy in Atlanta of late.

Impressive efficiency.

Many agencies had already told me that my chances of getting a car in Atlanta were slim.

Not so, because of Mike at Miles Car Rental.",US,4.0,2021-09-15T21:45:19Z,Miles Car Rental
customer,0.4,"Anly Sanchez was very helpful and…

Anly Sanchez was very helpful but the company sucks it's been 4 days without a rental and I can't get a refund of $153.08 back to my card because I guess the company is broke and nobody wants to answer the phone. Very unprofessional and very ridiculous",US,1.0,2021-06-03T16:40:40Z,Miles Car Rental
M. CHRISTIAN ALORI,0.8,"Online chat service is unsatisfactory but over the phone customer service was good.

After some mishaps regarding a potential cancelation to my reservation and receiving a hard time getting an answer from the online chat service, I received a call from a representative that was very helpful and resolved the issue to my satisfaction.",FR,3.0,2021-07-15T16:48:17Z,Miles Car Rental
Diana Manzano,1.0,"I recently booked a car with them and…

I recently booked a car with them and entered the wrong airport, so i contacted them and Emma was so helpful. She changed my booking and made sure it was the correct airport this time.",EC,1.0,2022-03-12T03:46:45Z,Miles Car Rental
wilmaris enid calderon,1.0,"Costumer service Karol Avila

Best costumer service I've ever received. Very Helpful, answer all my doubts. I was gonna cancel my reservation but she was so amazing and help me so much thru the process that I didnt cancel. More people like her please.... Thank you Karol",US,1.0,2021-06-25T01:01:12Z,Miles Car Rental
Juni Sluis,1.0,"True meaning of ""going the extra mile......""

I made a mistake in dates with my reservation, but Michael Hernandez was very understanding and helpful in assisting in solving the situation. That was truly the definition in ""going the extra mile"". Appreciate it very much. Thanks again!",CW,1.0,2021-07-10T21:48:32Z,Miles Car Rental
D.,1.0,"Isabel helped me out very well

Isabel helped me out very well by changing cars. Her voice was calm and pleasant even though it was ten o’clock.",NL,3.0,2022-06-22T14:26:43Z,Miles Car Rental
Mark Geschwind,1.0,"Maria Ortiz was so professional and…

Maria Ortiz was so professional and helpful. She wasn’t just interested in the sale, but truly finding the best and most reasonable vehicle for me. She’s very ethical and very vibrant. She’s a winner. I’d hold onto her.",US,1.0,2021-10-21T03:38:37Z,Miles Car Rental
ALAN LORENZ,1.0,"So helpful and polite

I would like to highly compliment MARIA ORTIZ, for taking care of all my car rental needs. She was extremely polite and nice to speak to, she is DEFINITELY an asset to your company

AL LORENZ
CURACAO",CW,3.0,2022-01-04T00:23:24Z,Miles Car Rental
FanShawn Taylor-Evans,1.0,"Karol Moreno was AMAZING

Karol Moreno was AMAZING! I was worried I was not going to be able to make adjustments to my rental but she went over and beyond making sure everything was perfect! Thank you Karol! With love from The Bahamas! ❤️",BS,1.0,2021-10-26T15:29:32Z,Miles Car Rental
Arianne Garcia-d'abreau,1.0,"Efficient service

Karol Moreno dealt with me professionally and patiently. She was able to bring me to a calm by clearly explaining every step. At the end of the phone call, I felt as though my concerns were taken seriously.",TT,1.0,2021-11-05T19:41:53Z,Miles Car Rental
Fernando Larios Mexico,0.8,"Up to now it was easy to rent the car…

Up to now it was easy to rent the car and the price was a low price compared with other platforms, I hope it ends properly when our rental finishes",MX,1.0,2022-05-03T04:47:46Z,Miles Car Rental
James,0.2,"No refund either? Initiate a Chargeback

Had never heard of ""Miles Car Rental"" until i booked through Dollar.

Tampa Airport counter says contact Dollar customer service for a refund.

Dollar customer service says you booked through ""Miles Car Rental"" (we didn't) so contact them for the refund.

Miles Car Rental doesn't answer the phone nor have a way of contacting them.

It's a scam... and these 4 & 5 star reviews?

Fake.

Don't waste your time... go straight to your credit card company, explain your situation and request a chargeback.

UPDATE: contrary to the reply below there has been no attempt by Miles Car Rental to contact me nor resolve the situation.

Miles Car Rental; my email address and reservation number have been submitted with this review.

You know this as well as i do.

It is my belief you are words with no action and are likely tasked with wasting customer's time so as to keep their money.

Prove me wrong.

UPDATE: Miles Car Rental has now contacted me.

Will update again based on the actions they take to resolve this issue.",KY,1.0,2022-06-07T22:48:19Z,Miles Car Rental
Jaime Samuel,0.8,"Perfect!

The car was in perfect condition and; it was cheap. We traveled for more than 3 hours and; there was no problem with the vehicle. This shop is perfect if you are looking for an affordable rental car.",ES,24.0,2021-10-22T06:32:15Z,Miles Car Rental
Rick,1.0,"Have been very happy with Miles Car…

Have been very happy with Miles Car Rentals.
Had to cancel one reservation but gave me a credit and 10% on my next rental.
Just made a new reservation for OCT and all went smooth.
Well be happy to use them again",US,2.0,2021-06-16T23:33:51Z,Miles Car Rental
Daniel “DanyAlvez” Galvez,1.0,"The best car rental in Orlando!

Really had a good experience with Miles Rental. Karol was great. She was very patient and explained the whole process very thoroughly. Will always use them when I come to Orlando again.",US,1.0,2021-12-19T16:02:03Z,Miles Car Rental
Shannelle,1.0,"Maria Salcedo assisted me with a…

Maria Salcedo assisted me with a reservation today and gave excellent service. She was very patient with me and very knowledgeable.
Thank you Maria for your excellent service. Continue the good work",BB,1.0,2021-09-12T20:18:21Z,Miles Car Rental
franciscus,1.0,"Karol Moreno was super!

Karol Moreno was super!. She understood my needs right away and immediately helped with the booking. She expalined all details and information of my reservation. I give her 10 stars!.",CW,3.0,2021-12-10T21:13:12Z,Miles Car Rental
Ashley Hanna,1.0,"Daniela Villalobos was VERY helpful…

Daniela Villalobos was VERY helpful with helpful assisting me today with making some adjustments to my reservation. She was kind, knowledgeable and friendly!",US,2.0,2022-03-18T00:55:06Z,Miles Car Rental
Luiz Felipe Abrantes,1.0,"It was amazing experience with Diana…

It was amazing experience with Diana Campos. Very thoughtful and polite professional give me all infos that I needed to make a best decision.

Thank a lot Diana!!",BR,1.0,2022-02-21T21:37:55Z,Miles Car Rental
Dhamocles ALves,1.0,"Great service

Great service. Jessica Vargas was really helpful and thoughtful",BR,1.0,2022-07-18T02:41:15Z,Miles Car Rental
Dung Nguyen,1.0,"The agent was very good and stay on a…

The agent was very good and stay on a phone with me and and help me all the way and she make sure I get my mail that she send me very nice",US,1.0,2022-04-15T04:59:18Z,Miles Car Rental
CAMILA KRAUSS SOUPER,1.0,"Great service!

She was very kind, patient and efficient. Solved all of our doubts and helped us in the process of changing our reservation. Totally recommended, very good service!",US,1.0,2022-01-24T19:36:58Z,Miles Car Rental
natalio,1.0,"excellent customer service

excellent customer service emma solve my problem very fast and kindly
servicio al cliente excelente emma muy amablemente y rapidamente resolvio un inconveniente con la reservacion",PR,1.0,2021-09-09T15:21:44Z,Miles Car Rental
RICARDO VIDAL,1.0,"So far very good service

So far very good service. The terms were clear",AR,2.0,2022-07-26T03:00:03Z,Miles Car Rental
Donald,1.0,"Great Company

Yes, I recommend. Especially the service, the kindness and the attention are the factors. Especially to its representative Emma for her professionalism and kindness",BS,1.0,2021-12-21T19:07:18Z,Miles Car Rental
Armando Diaz,1.0,"Maria Ortiz provided excellent customer…

Maria Ortiz provided excellent customer service and answered all my questions. She was very nice, patient and very helpful. Im very happy with her services.",US,4.0,2022-01-07T03:49:49Z,Miles Car Rental
Sherry McHarg,0.2,"I have been dealing with a huge problem…

I have been dealing with a huge problem regarding extra,unwarranted, and unauthorized charges made on my credit card by Budget Rental Car company. I made my reservation through Miles Car Rental and paid full price at the time of the rental. I had nothing but troubles from the moment we picked up the car. We were informed that they would only rent the car to us for 30 days. We paid for 50 days. After a month, finally I got some resolution from your representative that we would have no additional charges upon return of the car. I was subsequently charged $904 on my credit card after the return. In spite of multiple calls working with your team to resolve this issue, nothing there has been no refund to my credit card nor any response as to when that will occur. This entire experience has been very upsetting!",MX,3.0,2021-07-19T17:32:10Z,Miles Car Rental
Oscar,1.0,"Gina Barajas very profesional!

Gina Barajas very profesional!
I was impressed with her positive actitud
By explaining and answering all my questions. Keep it up Gina!",CO,1.0,2022-03-28T03:39:03Z,Miles Car Rental
Client,1.0,"Excellent Service

First and foremost, their prices are great! Additionally, the booking experience is quick, smooth and changes to your reservation are easy. Would definitely use them again!",US,1.0,2021-07-19T20:15:23Z,Miles Car Rental
kerly olivares,1.0,"They cancel my reservation for systems…

They cancel my reservation for systems issues but next day called me many time to help me to find a good deal. Very helpful, I like the service of Maria Ortiz!!",US,1.0,2021-11-23T03:33:40Z,Miles Car Rental
Estella Maya,1.0,"Online reservation assistance

Giselle Monzon was so helping in assisting us with placing an online reservation, she was patient and kind!! Thank you we give her service a 10/10",US,1.0,2022-01-27T17:37:44Z,Miles Car Rental
cliente,1.0,"Extremely attentive and helpful CSR

Extremely attentive and helpful CSR. answered all my questions and made sure she got all the required info correctly. Great job",BB,1.0,2022-04-11T02:34:12Z,Miles Car Rental
Andrius Kazlauskas,1.0,"Customer assistance service works…

Customer assistance service works perfectly. Especially thanks for Michael Hernández. He helped to reschedule pick up time and answer all the questions.",US,1.0,2021-12-17T16:46:44Z,Miles Car Rental
Wayne Roberts,1.0,"Excellent service by Michael Hernandez…

Excellent service by Michael Hernandez and Miles Car Rental
Sorted out changeover of rental with great efficiency and no fuss.
Would gladly use their services again",GB,2.0,2021-08-12T18:41:32Z,Miles Car Rental
claudia ochoa,1.0,"Miss Veronica Rendon helped me a lot…

Miss Veronica Rendon helped me a lot with the change of my reservation. Very attentive and we were able to fix what we need",US,1.0,2022-04-18T15:58:44Z,Miles Car Rental
Netty Singer,1.0,"Lorena is the best

Lorena has been assisting perfectly with a lot of patience and dedication. I am a client for years now and I would not change it

thank you for the excellent service!",CW,6.0,2021-06-24T01:20:18Z,Miles Car Rental
PATRICIA CISNEROS,1.0,"Got a great deal and the customer…

Got a great deal and the customer service was good. Quality vehicle provided.
The best was the price with great opciones.
Would recommend to family and friends.",MX,2.0,2021-06-25T03:21:41Z,Miles Car Rental
John Aspinall,1.0,"I was helped by Maria Ortiz who was…

I was helped by Maria Ortiz who was extremely clear about what I was getting for my money and very helpful it was a pleasure dealing with her",GB,3.0,2022-01-07T15:10:30Z,Miles Car Rental
Francisco Sierra,1.0,"Pretty easy to understand website

Pretty easy to understand website. Only thing is I wish the filter options were more extensive, covering things like: agency, # of people, # suitcases, etc.",US,2.0,2021-08-03T03:25:10Z,Miles Car Rental
Georgetta LIttle,1.0,"Maria was very pleasantly and very…

Maria was very pleasantly and very knowledgeable. She went the extra to accommodate my request. She set the standard of great customer service",US,1.0,2021-11-23T04:16:57Z,Miles Car Rental
Lucas Clemente Rojas Burgos,1.0,"excellent service

excellent service, especially if you contact them you get better benefits and coverage.",US,1.0,2022-06-09T03:05:07Z,Miles Car Rental
Thor,1.0,"Karol Moreno was very helpful in…

Karol Moreno was very helpful in getting me a rental. Everywhere was sold out for days but she was able to get me a car.",US,1.0,2022-03-13T21:28:47Z,Miles Car Rental
customer,0.2,"Worst car rental experience ever

Worst car rental experience ever. Long lines and did not have my car when i booked reservations",US,1.0,2022-05-22T22:23:49Z,Miles Car Rental
customer,1.0,"wonderful experience

wonderful experience, always great customer service and no hidden charges",PR,1.0,2022-06-23T01:00:22Z,Miles Car Rental
cliente,1.0,"The representative was so…

The representative was so knowledgeable, kind, efficient and attentive! He answered all my questions got me the best deal available.",US,1.0,2021-09-18T02:18:37Z,Miles Car Rental
Al Ness,1.0,"Was skeptical but quickly realized ...

Was skeptical but quickly realized this is a great place to rent cars! Exc service and pricing. Wilson Perez was superb to work with.",US,1.0,2021-07-05T01:16:29Z,Miles Car Rental
Maritza Casabona Espinoza,1.0,"Good attention

I'm so happy because Mr. William attended me excellent. He helps me to resolve my problem to find the best rent's car option.",PE,1.0,2021-10-04T23:33:11Z,Miles Car Rental
customer,1.0,"Excellent service

The service was quick efficient",BS,1.0,2022-07-25T05:30:21Z,Miles Car Rental
cliente,0.2,"not good so far i am trying to add…

not good so far i am trying to add another day to my reservation and nothing is getting done",US,1.0,2022-05-05T14:35:00Z,Miles Car Rental
Yoarys,1.0,"Anly provided an outstanding customer…

Anly provided an outstanding customer service, she was very helpful and tried to accommodate all our needs. Thank you very much.",US,1.0,2021-06-29T00:57:50Z,Miles Car Rental
Richardd Kallish,1.0,"Mrs Angulo

Mrs. Angulo is very professional, knowledgeable about the products, client friendly and deserves a recognition for her work.",BR,1.0,2021-07-13T21:24:04Z,Miles Car Rental
Juan Sebastian Villate,1.0,"Miles Car Rental

Miles Car Rental - USA is the Best!!!",CO,3.0,2022-07-18T19:52:48Z,Miles Car Rental
Kate Labrecque,1.0,"Catalina was incredible

Catalina was incredible! Helped me get all the information on needed and I saved a ton of money too! Thank you!!!",US,1.0,2021-11-16T19:56:06Z,Miles Car Rental
Marchiano,1.0,"We received a great service and…

We received a great service and attention from Karol Avila during our booking process. Thank very much Miles and Karol.",CW,3.0,2021-07-23T23:36:30Z,Miles Car Rental
